,sp500_Open,sp500_High,sp500_Low,sp500_Close,sp500_Volume,vix_Open,vix_High,vix_Low,vix_Close,vix_Volume,dji_Open,dji_High,dji_Low,dji_Close,dji_Volume,ndx_Open,ndx_High,ndx_Low,ndx_Close,ndx_Volume,n255_Open,n255_High,n255_Low,n255_Close,n255_Volume,ftse_Open,ftse_High,ftse_Low,ftse_Close,ftse_Volume,hsi_Open,hsi_High,hsi_Low,hsi_Close,hsi_Volume,n100_Open,n100_High,n100_Low,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,40.63480550560224,,,
2000-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,
2000-01-03,1469.25,1478.0,1438.359985,1455.219971,931800000.0,24.360001,26.15,23.98,24.209999,0.0,11501.849609,11522.009766,11305.69043,11357.509766,169750000.0,3755.73999,3836.860107,3643.25,3790.550049,1510070000.0,,,,,,,,,,,17057.699219,17426.160156,17057.699219,17369.630859,0.0,996.77002,996.77002,996.77002,996.77002,0.0,,0.0,,,,
2000-01-04,1455.219971,1455.219971,1397.430054,1399.420044,1009000000.0,24.940001,27.18,24.799999,27.01,0.0,11349.75,11350.05957,10986.450195,10997.929688,178420000.0,3766.570068,3766.570068,3542.72998,3546.199951,1511840000.0,18937.449219,19187.609375,18937.449219,19002.859375,0.0,6930.200195,6930.200195,6662.899902,6665.899902,633449000.0,17303.0,17303.0,16933.519531,17072.820313,0.0,955.969971,955.969971,955.969971,955.969971,0.0,,0.99,,,,
2000-01-05,1399.420044,1413.27002,1377.680054,1402.109985,1085500000.0,27.98,29.0,25.85,26.41,0.0,10989.370117,11215.099609,10938.669922,11122.650391,203190000.0,3543.129883,3576.169922,3371.75,3507.310059000001,1735670000.0,19003.509766,19003.509766,18221.820313,18542.550781,0.0,6665.899902,6665.899902,6500.399902,6535.899902,670234000.0,16608.550781,16608.550781,15688.490234,15846.719727000003,0.0,930.26001,930.26001,930.26001,930.26001,0.0,,0.0,,,,
2000-01-06,1402.109985,1411.900024,1392.099976,1403.449951,1092300000.0,26.68,26.709999,24.700001,25.73,0.0,11113.370117,11313.450195,11098.450195,11253.259766,176550000.0,3488.310059000001,3513.5500490000004,3334.02002,3340.810059,1598320000.0,18574.009766,18582.740234,18168.269531,18168.269531,0.0,6535.899902,6547.299805,6424.399902,6447.200195,785532000.0,15942.070313,15971.030272999997,14763.969727000003,15153.230469,0.0,922.460022,922.460022,922.460022,922.460022,0.0,,0.0,,,,
2000-01-07,1403.449951,1441.469971,1400.72998,1441.469971,1225200000.0,25.139999,25.17,21.719999,21.719999,0.0,11247.05957,11528.139648,11239.919922,11522.55957,184900000.0,3337.26001,3529.75,3314.75,3529.600098,1634930000.0,18194.050781,18285.730469,18068.099609,18193.410156,0.0,6447.200195,6532.399902,6438.799805,6504.799805,888306000.0,15329.339844,15513.889647999997,15108.75,15405.629883,0.0,943.880005,943.880005,943.880005,943.880005,0.0,,0.0,,,,
2000-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2000-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,
2000-01-10,1441.469971,1464.359985,1441.469971,1457.599976,1064800000.0,21.889999,22.49,21.360001,21.709999,0.0,11532.480469,11638.280273,11532.480469,11572.200195,168180000.0,3558.209961,3756.169922,3558.209961,3717.409912,1691710000.0,,,,,,6504.799805,6634.200195,6504.799805,6607.700195,735455000.0,15631.0,16065.089844,15631.0,15848.150391,0.0,960.219971,960.219971,960.219971,960.219971,0.0,,0.0,,,,
